Id,Title,Description,Status,LearningMode,SectionFee,Currency,GenderRequirement,AcademicLevelRequirement,SessionDuration,SessionPerWeek,Address,SubjectId,LearnerGender,LearnerName,NumberOfLearner,ContactNumber,LearnerId,TutorId,CreationTime,CreatorId,LastModificationTime,LastModifierId,IsDeleted,DeletionTime,DeleterId,ChargeFee,Detail,Rate
45C02D5B-90EB-46FF-98C8-00239C9E4DDE,Eiusmod reprehenderit officia dolore minim.,"Labore in id duis elit officia anim reprehenderit anim esse aliquip enim ad. Fugiat qui fugiat laborum amet fugiat. Cupidatat commodo proident minim ipsum nisi labore qui eu non fugiat. Mollit enim exercitation qui est non do amet ex aute exercitation pariatur amet anim. Minim culpa Lorem Lorem aliquip pariatur culpa labore nostrud. Exercitation exercitation esse commodo magna et tempor ad laborum. Mollit proident officia nulla do id excepteur irure cillum amet consectetur sint.
",4,0,0.0,USD,2,2,90,2,"636 Belvidere Street, Bartley, Connecticut, 3020",29,1,Juarez Hooper,1,+67 (951) 588-2576,C6ED6AEE-C8CF-455C-9B96-3287BD0F5987,,2024-01-05 20:25:35,,2024-04-09 00:36:02,,False,,,3747.4599609375,,
F7D84057-C573-49A2-80E5-002B4BB0EFAC,Lorem eu fugiat ut dolor minim voluptate labore duis sit eu.,"Ea ex veniam cupidatat dolor fugiat laborum anim qui sunt anim. Reprehenderit ut dolor id fugiat magna eiusmod id elit proident aute ipsum eu voluptate. Sunt reprehenderit eu commodo ex proident veniam. Veniam do velit eu dolore eiusmod excepteur anim est et consequat laborum id. Cillum ut laboris voluptate nulla mollit.
",4,0,0.0,USD,2,1,90,2,"175 Williamsburg Street, Tibbie, Missouri, 2248",25,1,Oneill Cox,1,+31 (807) 557-2608,17D2CBCF-99E3-4283-997F-8CFFB0C47ED2,,2024-01-28 21:42:05,,2024-04-09 00:36:02,,False,,,3028.0,,
C4F2ACCD-0516-4804-8CB3-004E08EB8B88,Minim laboris deserunt eiusmod deserunt Lorem reprehenderit incididunt ea pariatur Lorem eiusmod.,"Consequat esse consequat velit quis duis culpa eu adipisicing ex minim in cillum officia deserunt. Enim aute id enim velit anim voluptate do. Minim culpa aute quis mollit mollit ea amet veniam deserunt magna aute. Cupidatat occaecat nostrud id magna officia ad ea cupidatat aliqua ipsum ipsum sint consequat consequat. Occaecat elit laboris consectetur est deserunt amet. Consequat Lorem velit laborum pariatur magna in ea consequat tempor do amet deserunt irure consequat.
",1,0,1058.010009765625,USD,1,2,90,2,"762 Wolcott Street, Glenbrook, Guam, 567",1,1,Shaffer Parsons,1,+71 (805) 442-3888,CA0B7C79-3F58-490C-8208-5885B5247513,9173BF21-2C99-4A79-90D6-87A1C0EC316A,2014-10-06 16:20:55,,2024-04-18 16:23:25,,False,,,1382.97998046875,Anim consequat cupidatat anim nulla.,4
5742F467-2DF9-44C9-82BC-007FAD4AA3BC,Nulla sunt nulla excepteur voluptate nulla culpa.,"Esse tempor ut fugiat cupidatat duis quis exercitation commodo qui laborum consectetur commodo aute laboris. Laborum ipsum incididunt laborum minim mollit ex laborum cillum amet excepteur mollit do minim veniam. Ullamco nisi esse irure incididunt qui voluptate Lorem. Irure ut ad consectetur aliqua aliqua velit dolore elit labore cupidatat ea do anim in.
",4,0,0.0,USD,1,1,90,2,"708 Furman Street, Brandywine, Delaware, 3749",24,1,Cantu Stark,1,+36 (991) 445-2898,7ED734AF-7671-428E-890A-30DD37D1E0FD,,2024-03-19 23:47:22,,2024-04-09 00:36:02,,False,,,2096.360107421875,,
D7153331-1EA2-4383-8DF5-009454B45DD1,Magna mollit deserunt sint excepteur consequat elit consequat pariatur.,"Id aliqua mollit irure dolore occaecat duis est Lorem anim. Est qui ullamco sit anim ad dolor mollit nulla dolor. Excepteur ullamco enim do fugiat aliqua et pariatur aliqua. Veniam magna enim consectetur consequat mollit exercitation nisi velit aute. Id pariatur sit voluptate sit.
",1,0,0.0,USD,1,2,90,2,"604 Hubbard Place, Santel, Northern Mariana Islands, 9588",2,1,Thomas Barker,1,+99 (879) 431-2189,EEB22FF1-7D51-44F8-9C9E-27ADA26CEA28,31869077-A7E8-4CDE-BF3E-CCA9CCF718D5,2024-02-03 15:22:41,,2024-04-09 00:36:02,,False,,,1394.1400146484375,Laborum enim tempor nulla ad aute eu voluptate nostrud nisi anim.,2
EEEC571D-C087-4069-88B8-0097A71CD26D,Ipsum elit quis magna proident fugiat dolor.,"Consectetur dolore aliquip quis eu ex voluptate sunt eiusmod elit exercitation consectetur. Anim deserunt duis in enim nostrud officia consequat. Mollit aliquip ex aliqua pariatur id aute.
",1,0,1640.3299560546875,USD,2,1,90,2,"218 Catherine Street, Hollins, Arizona, 3847",21,1,Merritt Day,1,+44 (889) 473-3784,031ECB7A-4FDA-4CD4-8BB7-B9DC71DD92CA,4EAFB8C6-B50D-4D02-8904-E02E97BCE2BB,2019-01-18 01:51:32,,2019-04-29 20:14:16,,False,,,3997.090087890625,Tempor consequat magna reprehenderit consectetur mollit.,3
52FF0687-E1DA-4D8D-8DE3-00A9A5F551ED,Proident incididunt et fugiat dolor.,"Laboris ea sunt qui nisi. Elit non excepteur proident esse excepteur eiusmod mollit ipsum nulla excepteur. Adipisicing minim est occaecat culpa sit. In ex eiusmod amet ipsum non nisi Lorem occaecat aliqua culpa. Reprehenderit labore duis ipsum eu id velit minim.
",1,0,0.0,USD,1,2,90,2,"278 Adelphi Street, Caberfae, Louisiana, 8297",25,1,Estrada Mejia,1,+46 (963) 541-3861,3E0E239E-3FD6-4E7A-BE23-C937A97B4DD7,7B38D85A-8B79-4BC4-AC05-281EE705ECC4,2024-03-05 16:50:21,,2024-04-09 00:36:02,,False,,,2742.050048828125,Culpa nostrud duis esse cupidatat id ipsum fugiat Lorem do deserunt adipisicing.,5
DAAE2957-E3F5-4A16-BB6E-00D3145E9081,Eu officia aliquip voluptate fugiat ad ea ex dolore aliquip sunt aliquip laborum dolor.,"Labore quis non magna commodo. Ullamco amet ullamco mollit minim aliqua. Lorem deserunt est dolor elit consectetur nostrud nisi Lorem ipsum enim enim in ut. Est nisi excepteur voluptate pariatur elit. Non exercitation voluptate exercitation tempor reprehenderit do culpa deserunt in labore aliqua adipisicing deserunt.
",1,0,3061.22998046875,USD,1,1,90,2,"169 Kane Place, Garfield, New York, 3744",16,1,Finley Noel,1,+67 (944) 412-3693,A0A69FBE-D3BD-42C7-8A32-CAD5F2A0CC3F,6A1AC7AD-A7F2-442F-9C0D-CD417ECEE946,2023-05-01 02:33:54,,2023-11-06 00:34:14,,False,,,2866.889892578125,Deserunt proident cillum quis ex exercitation officia laborum consequat dolor velit mollit deserunt.,4
B969CB58-B5E8-4C43-9DE3-0104A45F2610,Est eu est eiusmod tempor.,"Lorem veniam commodo ut mollit cillum velit exercitation non labore anim velit ipsum laborum. Aute aliquip culpa ipsum nisi esse exercitation id. Culpa dolore magna esse occaecat mollit fugiat ut consequat aute qui tempor. Aliqua duis voluptate cupidatat magna cupidatat aliqua nostrud ipsum eu id exercitation amet irure. Dolor quis reprehenderit reprehenderit aliqua quis cupidatat labore irure consequat eu.
",4,0,0.0,USD,2,0,90,2,"342 Shale Street, Winfred, Palau, 305",15,1,Estrada Mejia,1,+46 (963) 541-3861,3E0E239E-3FD6-4E7A-BE23-C937A97B4DD7,,2024-03-08 18:33:19,,2024-04-09 00:36:02,,False,,,2990.570068359375,,
C98D64E6-FA7A-40A7-8146-0145BB524765,Minim pariatur laboris ad Lorem sint do sint eiusmod.,"Exercitation duis duis qui laborum sit sint do aliqua officia velit consectetur nisi. Elit id cupidatat consequat cupidatat nulla in velit. Aliqua et pariatur id minim sint tempor irure dolor aute excepteur.
",1,0,1529.3800048828125,USD,0,1,90,2,"602 Lawrence Street, Blairstown, Arizona, 9711",4,1,Hobbs Woods,1,+19 (956) 457-2429,7288780C-BA0C-4E07-8210-D1FCA11F7E4A,7B38D85A-8B79-4BC4-AC05-281EE705ECC4,2016-12-19 22:24:19,,2015-10-13 19:32:13,,False,,,1706.530029296875,Aliqua tempor in sunt deserunt esse magna anim dolore.,2
